,datetime,open,high,low,close,volume,ema5,ema8,ema13,MACD,RSI
0,2020-01-02 17:30:00,37.235397,37.292274,36.875177,36.988931,264176.0,36.988931,36.988931,36.988931,0.0,100.0
1,2020-01-02 18:30:00,36.988931,37.050548,36.894136,36.936794,113237.0,36.971552,36.977345,36.98148285714286,-0.004159076923073712,0.0
2,2020-01-02 19:30:00,36.932054,36.951013,36.894136,36.946273,75932.0,36.96312566666667,36.97044011111111,36.976452877551026,-0.006614056541742741,16.373612408340065
3,2020-01-02 20:30:00,36.946273,36.951013,36.884657,36.894136,48912.0,36.94012911111112,36.95348364197531,36.964693323615165,-0.012621176681257396,8.312034637323492
4,2020-01-02 21:30:00,36.903616,36.913095,36.860958,36.879917,55462.0,36.92005840740741,36.93713549931413,36.95258242024157,-0.018318057967988466,7.261924245690594
5,2020-01-02 22:30:00,36.875177,36.974712,36.856218,36.974712,69667.0,36.93827627160494,36.945485832799875,36.95574378877849,-0.015010679398123727,51.37078979177128
6,2020-01-02 23:30:00,36.979451,37.102685,36.941534,37.102685,95852.0,36.99307918106996,36.98041898106657,36.97673539038156,-0.002039694143689985,71.250653115091
7,2020-01-03 17:30:00,36.695067,37.121644,36.695067,37.093205,150474.0,37.02645445404664,37.005482540829554,36.99337390604134,0.007389763752442491,69.00034437973255
8,2020-01-03 18:30:00,37.102685,37.188,36.988931,37.045808,99643.0,37.032905636031096,37.01444375397854,37.00086449089258,0.010912344568474452,58.972057752008766
9,2020-01-03 19:30:00,37.045808,37.173781,37.045808,37.159562,69279.0,37.07512442402073,37.04669225309442,37.02353556362221,0.02262223729250934,70.17545646483927
10,2020-01-03 20:30:00,37.159562,37.178521,37.055287,37.102685,57080.0,37.08431128268049,37.0591350857401,37.03484262596189,0.027001654813702203,61.179801165421765
11,2020-01-03 21:30:00,37.102685,37.102685,36.979451,37.055287,57352.0,37.074636521787,37.058279955575635,37.03776325082448,0.02634407418428708,54.86772108213201
